0.00, -0.697778,-0.683822,-0.669867,-0.655911,-0.641956,-0.628,-0.614045,-0.600089,-0.586133,-0.572178,-0.558222,-0.544267,-0.530311,-0.516356,-0.5024,-0.488445,-0.474489,-0.460534,-0.446578,-0.432622,-0.418667,-0.404711,-0.390756,-0.3768,-0.362845,-0.348889,-0.334934,-0.320978,-0.307022,-0.293067,-0.279111,-0.265156,-0.2512,-0.237245,-0.223289,-0.209333,-0.195378,-0.181422,-0.167467,-0.153511,-0.139556,-0.1256,-0.111645,-0.0976891,-0.0837335,-0.069778,-0.0558224,-0.0418669,-0.0279113,-0.0139558,-2.03028e-07,0.0139554,0.0279109,0.0418665,0.055822,0.0697776,0.0837331,0.0976887,0.111644,0.1256,0.139555,0.153511,0.167466,0.181422,0.195378,0.209333,0.223289,0.237244,0.2512,0.265155,0.279111,0.293066,0.307022,0.320978,0.334933,0.348889,0.362844,0.3768,0.390755,0.404711,0.418666,0.432622,0.446578,0.460533,0.474489,0.488444,0.5024,0.516355,0.530311,0.544266,0.558222,0.572178,0.586133,0.600089,0.614044,0.628,0.641955,0.655911,0.669866,0.683822,
-3, 145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,144.936,144.871,144.804,144.736,144.667,144.596,144.524,144.45,144.375,144.299,144.221,144.141,144.06,143.977,143.893,143.806,143.718,143.628,143.536,143.442,143.347,143.249,143.149,143.046,142.942,142.835,142.725,142.613,142.499,142.381,142.261,142.138,142.012,141.882,141.749,141.613,141.473,141.33,141.182,141.03,140.874,140.714,140.548,140.378,140.202,140.021,139.833,139.64,139.44,
-2.94, 145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,144.937,144.872,144.807,144.74,144.671,144.601,144.53,144.457,144.383,144.307,144.229,144.15,144.07,143.987,143.903,143.817,143.729,143.639,143.547,143.453,143.357,143.259,143.158,143.055,142.95,142.842,142.732,142.619,142.503,142.384,142.262,142.137,142.009,141.877,141.742,141.603,141.46,141.313,141.161,141.005,140.844,140.679,140.507,140.331,140.148,139.96,139.764,139.562,139.352,
-2.88, 145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,144.938,144.874,144.809,144.743,144.675,144.606,144.536,144.463,144.39,144.315,144.238,144.159,144.079,143.997,143.913,143.827,143.739,143.649,143.557,143.463,143.367,143.268,143.167,143.064,142.958,142.849,142.738,142.623,142.506,142.385,142.262,142.135,142.004,141.87,141.731,141.589,141.442,141.291,141.135,140.974,140.808,140.636,140.459,140.275,140.085,139.888,139.683,139.471,139.25,
-2.82, 145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,144.939,144.876,144.812,144.746,144.68,144.611,144.541,144.47,144.397,144.322,144.246,144.168,144.088,144.006,143.922,143.837,143.749,143.659,143.567,143.473,143.376,143.277,143.175,143.071,142.964,142.855,142.742,142.626,142.507,142.385,142.259,142.129,141.996,141.858,141.717,141.571,141.42,141.264,141.103,140.937,140.764,140.586,140.401,140.209,140.01,139.803,139.588,139.363,139.129,
-2.76, 145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,144.94,144.878,144.815,144.75,144.684,144.616,144.547,144.476,144.404,144.33,144.254,144.176,144.096,144.015,143.931,143.846,143.758,143.668,143.576,143.481,143.384,143.285,143.182,143.077,142.969,142.858,142.744,142.627,142.506,142.381,142.253,142.121,141.984,141.843,141.698,141.548,141.392,141.231,141.064,140.892,140.712,140.526,140.333,140.131,139.922,139.703,139.475,139.236,138.987,
-2.7, 145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,144.94,144.88,144.817,144.753,144.688,144.621,144.553,144.482,144.411,144.337,144.262,144.184,144.105,144.024,143.94,143.855,143.767,143.677,143.585,143.49,143.392,143.292,143.188,143.082,142.973,142.861,142.745,142.625,142.502,142.375,142.244,142.109,141.969,141.824,141.674,141.519,141.358,141.191,141.018,140.838,140.65,140.455,140.251,140.039,139.817,139.585,139.342,139.087,138.819,
-2.64, 145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,144.941,144.881,144.82,144.757,144.692,144.626,144.558,144.489,144.417,144.344,144.269,144.192,144.113,144.032,143.949,143.863,143.775,143.685,143.592,143.497,143.399,143.297,143.193,143.086,142.975,142.861,142.743,142.622,142.496,142.366,142.232,142.093,141.949,141.8,141.645,141.484,141.317,141.143,140.962,140.773,140.576,140.37,140.155,139.929,139.693,139.444,139.183,138.908,138.618,
-2.58, 145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,144.942,144.883,144.822,144.76,144.696,144.631,144.564,144.495,144.424,144.351,144.277,144.2,144.121,144.04,143.957,143.871,143.783,143.693,143.599,143.503,143.404,143.302,143.196,143.088,142.975,142.859,142.739,142.615,142.487,142.354,142.215,142.072,141.924,141.769,141.608,141.441,141.266,141.084,140.894,140.695,140.487,140.269,140.039,139.798,139.544,139.276,138.993,138.694,138.376,
-2.52, 145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,144.943,144.885,144.825,144.763,144.7,144.635,144.569,144.5,144.43,144.358,144.284,144.207,144.129,144.048,143.964,143.879,143.79,143.699,143.605,143.508,143.408,143.305,143.198,143.088,142.973,142.855,142.732,142.605,142.474,142.337,142.194,142.046,141.892,141.731,141.564,141.389,141.206,141.014,140.813,140.602,140.381,140.147,139.901,139.641,139.366,139.074,138.764,138.434,138.081,
